go	precision	recall	fmeasure
0.0	0.02	0.02	0.04
0.02	0.99	0.99	0.99
0.04	0.99	0.99	0.99
0.06	0.99	0.99	0.99
0.08	0.99	0.99	0.99
0.1	0.99	0.99	0.99
0.12000000000000001	0.99	0.99	0.99
0.14	0.99	0.99	0.99
0.16	0.99	0.99	0.99
0.18	0.99	0.99	0.99
0.19999999999999998	0.99	0.99	0.99
0.21999999999999997	0.99	0.99	0.99
0.23999999999999996	0.99	0.98	0.98
0.25999999999999995	0.99	0.98	0.98
0.27999999999999997	0.99	0.98	0.99
0.3	0.99	0.98	0.99
0.32	0.99	0.98	0.99
0.34	0.99	0.98	0.99
0.36000000000000004	0.99	0.98	0.98
0.38000000000000006	0.99	0.98	0.98
