go	precision	recall	fmeasure
0.0	0.20	0.20	0.33
0.2	0.71	0.47	0.48
0.4	0.33	0.37	0.49
0.6000000000000001	0.27	0.27	0.37
0.8	0.20	0.20	0.33
1.0	0.20	0.20	0.33
6.0	0.20	0.20	0.33
11.0	0.20	0.20	0.33
16.0	0.20	0.20	0.33
21.0	0.20	0.20	0.33
26.0	0.20	0.20	0.33
go	precision	recall	fmeasure
0.0	0.20	0.20	0.33
0.02	0.42	0.47	0.50
0.04	0.49	0.50	0.49
0.06	0.49	0.50	0.49
0.08	0.49	0.50	0.49
0.1	0.54	0.53	0.54
0.12000000000000001	0.49	0.47	0.47
0.14	0.55	0.50	0.51
0.16	0.55	0.50	0.51
0.18	0.55	0.47	0.47
0.19999999999999998	0.71	0.47	0.48
0.21999999999999997	0.71	0.47	0.48
0.23999999999999996	0.70	0.40	0.55
0.25999999999999995	0.55	0.37	0.56
0.27999999999999997	0.55	0.33	0.52
0.3	0.55	0.33	0.52
0.32	0.36	0.33	0.53
0.34	0.36	0.33	0.53
0.36000000000000004	0.38	0.37	0.55
0.38000000000000006	0.33	0.37	0.50
