go	precision	recall	fmeasure
0.0	0.02	0.02	0.04
0.02	0.99	0.98	0.98
0.04	0.99	0.98	0.99
0.06	0.99	0.98	0.98
0.08	0.98	0.98	0.97
0.1	0.97	0.97	0.97
0.12000000000000001	0.97	0.96	0.96
0.14	0.96	0.96	0.96
0.16	0.96	0.96	0.95
0.18	0.96	0.95	0.95
0.19999999999999998	0.96	0.94	0.94
0.21999999999999997	0.95	0.94	0.94
0.23999999999999996	0.94	0.94	0.93
0.25999999999999995	0.94	0.93	0.93
0.27999999999999997	0.94	0.92	0.93
0.3	0.94	0.92	0.92
0.32	0.95	0.93	0.93
0.34	0.94	0.92	0.92
0.36000000000000004	0.94	0.92	0.92
0.38000000000000006	0.94	0.91	0.92
