go	precision	recall	fmeasure
0.0	0.20	0.20	0.33
0.2	0.54	0.30	0.34
0.4	0.48	0.27	0.30
0.6000000000000001	0.11	0.23	0.34
0.8	0.20	0.20	0.33
1.0	0.20	0.20	0.33
6.0	0.20	0.20	0.33
11.0	0.20	0.20	0.33
16.0	0.14	0.17	0.29
21.0	0.14	0.17	0.29
26.0	0.14	0.17	0.29
go	precision	recall	fmeasure
0.0	0.20	0.20	0.33
0.02	0.60	0.53	0.53
0.04	0.66	0.63	0.63
0.06	0.64	0.60	0.59
0.08	0.62	0.57	0.56
0.1	0.64	0.57	0.55
0.12000000000000001	0.61	0.53	0.52
0.14	0.67	0.50	0.50
0.16	0.66	0.47	0.49
0.18	0.70	0.37	0.38
0.19999999999999998	0.54	0.30	0.34
0.21999999999999997	0.54	0.30	0.34
0.23999999999999996	0.34	0.27	0.39
0.25999999999999995	0.54	0.30	0.34
0.27999999999999997	0.53	0.30	0.33
0.3	0.47	0.37	0.36
0.32	0.54	0.43	0.47
0.34	0.49	0.40	0.45
0.36000000000000004	0.43	0.37	0.36
0.38000000000000006	0.53	0.37	0.36
