go	precision	recall	fmeasure
0.0	0.02	0.02	0.04
0.02	0.86	0.64	0.69
0.04	0.86	0.64	0.68
0.06	0.82	0.56	0.64
0.08	0.77	0.50	0.58
0.1	0.72	0.44	0.52
0.12000000000000001	0.66	0.34	0.43
0.14	0.61	0.29	0.37
0.16	0.53	0.24	0.36
0.18	0.46	0.20	0.30
0.19999999999999998	0.42	0.16	0.26
0.21999999999999997	0.36	0.13	0.25
0.23999999999999996	0.36	0.12	0.24
0.25999999999999995	0.28	0.10	0.24
0.27999999999999997	0.22	0.10	0.23
0.3	0.21	0.08	0.22
0.32	0.19	0.08	0.23
0.34	0.19	0.07	0.21
0.36000000000000004	0.18	0.06	0.21
0.38000000000000006	0.19	0.07	0.21
