go	precision	recall	fmeasure
0.0	0.20	0.20	0.33
0.2	0.95	0.93	0.93
0.4	0.95	0.93	0.93
0.6000000000000001	0.91	0.90	0.90
0.8	0.83	0.80	0.79
1.0	0.83	0.80	0.79
6.0	0.79	0.77	0.76
11.0	0.87	0.87	0.87
16.0	0.91	0.90	0.90
21.0	0.91	0.90	0.90
26.0	0.91	0.90	0.90
go	precision	recall	fmeasure
0.0	0.20	0.20	0.33
0.02	1.00	1.00	1.00
0.04	1.00	1.00	1.00
0.06	1.00	1.00	1.00
0.08	0.95	0.93	0.93
0.1	0.95	0.93	0.93
0.12000000000000001	0.95	0.93	0.93
0.14	0.95	0.93	0.93
0.16	0.95	0.93	0.93
0.18	0.95	0.93	0.93
0.19999999999999998	0.95	0.93	0.93
0.21999999999999997	0.93	0.90	0.90
0.23999999999999996	0.93	0.90	0.90
0.25999999999999995	0.93	0.90	0.90
0.27999999999999997	0.92	0.87	0.87
0.3	0.92	0.87	0.87
0.32	0.92	0.87	0.87
0.34	0.93	0.90	0.90
0.36000000000000004	0.93	0.90	0.90
0.38000000000000006	0.95	0.93	0.93
