go	precision	recall	fmeasure
0.0	0.50	0.50	0.67
0.2	0.95	0.95	0.95
0.4	0.88	0.85	0.85
0.6000000000000001	0.83	0.75	0.73
0.8	0.83	0.75	0.73
1.0	0.83	0.75	0.73
6.0	0.83	0.75	0.73
11.0	0.83	0.75	0.73
16.0	0.81	0.70	0.67
21.0	0.81	0.70	0.67
26.0	0.79	0.65	0.60
go	precision	recall	fmeasure
0.0	0.50	0.50	0.67
0.02	1.00	1.00	1.00
0.04	1.00	1.00	1.00
0.06	1.00	1.00	1.00
0.08	1.00	1.00	1.00
0.1	1.00	1.00	1.00
0.12000000000000001	0.95	0.95	0.95
0.14	0.95	0.95	0.95
0.16	0.95	0.95	0.95
0.18	0.95	0.95	0.95
0.19999999999999998	0.95	0.95	0.95
0.21999999999999997	0.92	0.90	0.90
0.23999999999999996	0.92	0.90	0.90
0.25999999999999995	0.92	0.90	0.90
0.27999999999999997	0.92	0.90	0.90
0.3	0.92	0.90	0.90
0.32	0.92	0.90	0.90
0.34	0.92	0.90	0.90
0.36000000000000004	0.92	0.90	0.90
0.38000000000000006	0.88	0.85	0.85
