go	precision	recall	fmeasure
0.0	0.02	0.02	0.04
0.02	0.89	0.81	0.81
0.04	0.88	0.80	0.81
0.06	0.87	0.75	0.77
0.08	0.84	0.67	0.69
0.1	0.76	0.60	0.65
0.12000000000000001	0.73	0.50	0.55
0.14	0.69	0.46	0.52
0.16	0.63	0.38	0.48
0.18	0.59	0.32	0.46
0.19999999999999998	0.55	0.27	0.38
0.21999999999999997	0.43	0.24	0.36
0.23999999999999996	0.30	0.17	0.29
0.25999999999999995	0.27	0.14	0.29
0.27999999999999997	0.24	0.13	0.28
0.3	0.22	0.11	0.29
0.32	0.23	0.10	0.22
0.34	0.19	0.10	0.22
0.36000000000000004	0.30	0.12	0.38
0.38000000000000006	0.28	0.11	0.37
