go	precision	recall	fmeasure
0.0	0.02	0.02	0.04
0.02	0.92	0.84	0.86
0.04	0.92	0.83	0.85
0.06	0.89	0.81	0.82
0.08	0.88	0.77	0.78
0.1	0.85	0.71	0.74
0.12000000000000001	0.78	0.63	0.68
0.14	0.74	0.56	0.61
0.16	0.73	0.49	0.55
0.18	0.70	0.43	0.52
0.19999999999999998	0.63	0.39	0.52
0.21999999999999997	0.57	0.33	0.51
0.23999999999999996	0.51	0.29	0.50
0.25999999999999995	0.47	0.28	0.47
0.27999999999999997	0.44	0.27	0.46
0.3	0.43	0.25	0.43
0.32	0.43	0.22	0.42
0.34	0.44	0.20	0.41
0.36000000000000004	0.43	0.19	0.44
0.38000000000000006	0.43	0.18	0.48
