go	precision	recall	fmeasure
0.0	0.02	0.02	0.04
0.02	0.73	0.46	0.57
0.04	0.72	0.46	0.57
0.06	0.68	0.40	0.50
0.08	0.66	0.33	0.44
0.1	0.56	0.25	0.37
0.12000000000000001	0.55	0.22	0.32
0.14	0.46	0.18	0.31
0.16	0.45	0.15	0.29
0.18	0.44	0.12	0.24
0.19999999999999998	0.22	0.11	0.23
0.21999999999999997	0.22	0.10	0.20
0.23999999999999996	0.39	0.09	0.21
0.25999999999999995	0.18	0.08	0.26
0.27999999999999997	0.12	0.09	0.23
0.3	0.09	0.07	0.20
0.32	0.14	0.07	0.25
0.34	0.11	0.06	0.22
0.36000000000000004	0.09	0.07	0.21
0.38000000000000006	0.10	0.07	0.22
