go	precision	recall	fmeasure
0.0	0.20	0.20	0.33
0.2	0.81	0.77	0.76
0.4	0.71	0.63	0.63
0.6000000000000001	0.50	0.50	0.54
0.8	0.48	0.47	0.51
1.0	0.38	0.43	0.49
6.0	0.48	0.47	0.52
11.0	0.50	0.50	0.54
16.0	0.50	0.50	0.54
21.0	0.50	0.50	0.54
26.0	0.50	0.50	0.54
go	precision	recall	fmeasure
0.0	0.20	0.20	0.33
0.02	1.00	1.00	1.00
0.04	1.00	1.00	1.00
0.06	0.97	0.97	0.97
0.08	0.94	0.93	0.93
0.1	0.92	0.90	0.90
0.12000000000000001	0.92	0.90	0.90
0.14	0.92	0.90	0.90
0.16	0.87	0.83	0.84
0.18	0.81	0.77	0.76
0.19999999999999998	0.81	0.77	0.76
0.21999999999999997	0.77	0.73	0.73
0.23999999999999996	0.77	0.73	0.73
0.25999999999999995	0.73	0.67	0.66
0.27999999999999997	0.73	0.67	0.66
0.3	0.73	0.67	0.66
0.32	0.71	0.63	0.63
0.34	0.71	0.63	0.63
0.36000000000000004	0.71	0.63	0.63
0.38000000000000006	0.71	0.63	0.63
