go	precision	recall	fmeasure
0.0	0.20	0.20	0.33
0.2	0.88	0.80	0.80
0.4	0.74	0.50	0.50
0.6000000000000001	0.50	0.43	0.48
0.8	0.31	0.33	0.34
1.0	0.14	0.20	0.24
6.0	0.26	0.23	0.31
11.0	0.30	0.27	0.36
16.0	0.30	0.27	0.36
21.0	0.30	0.27	0.36
26.0	0.34	0.27	0.38
go	precision	recall	fmeasure
0.0	0.20	0.20	0.33
0.02	1.00	1.00	1.00
0.04	1.00	1.00	1.00
0.06	1.00	1.00	1.00
0.08	0.94	0.93	0.93
0.1	0.92	0.90	0.90
0.12000000000000001	0.92	0.90	0.90
0.14	0.90	0.87	0.87
0.16	0.90	0.87	0.87
0.18	0.88	0.80	0.80
0.19999999999999998	0.88	0.80	0.80
0.21999999999999997	0.88	0.80	0.80
0.23999999999999996	0.82	0.73	0.73
0.25999999999999995	0.80	0.67	0.67
0.27999999999999997	0.80	0.67	0.67
0.3	0.77	0.63	0.64
0.32	0.76	0.60	0.59
0.34	0.76	0.60	0.59
0.36000000000000004	0.74	0.53	0.53
0.38000000000000006	0.74	0.50	0.50
