go	precision	recall	fmeasure
0.0	0.02	0.02	0.04
0.02	0.95	0.94	0.94
0.04	0.96	0.93	0.94
0.06	0.95	0.92	0.92
0.08	0.92	0.87	0.87
0.1	0.89	0.84	0.85
0.12000000000000001	0.87	0.80	0.81
0.14	0.85	0.75	0.79
0.16	0.82	0.69	0.75
0.18	0.78	0.64	0.68
0.19999999999999998	0.72	0.59	0.66
0.21999999999999997	0.68	0.54	0.62
0.23999999999999996	0.67	0.52	0.60
0.25999999999999995	0.66	0.50	0.59
0.27999999999999997	0.63	0.48	0.61
0.3	0.60	0.46	0.58
0.32	0.59	0.45	0.55
0.34	0.58	0.43	0.54
0.36000000000000004	0.58	0.42	0.53
0.38000000000000006	0.56	0.41	0.51
