go	precision	recall	fmeasure
0.0	0.20	0.20	0.33
0.2	0.88	0.80	0.80
0.4	0.66	0.53	0.52
0.6000000000000001	0.65	0.47	0.45
0.8	0.48	0.43	0.48
1.0	0.42	0.43	0.49
6.0	0.48	0.43	0.48
11.0	0.48	0.43	0.48
16.0	0.48	0.43	0.48
21.0	0.62	0.47	0.51
26.0	0.61	0.43	0.61
go	precision	recall	fmeasure
0.0	0.20	0.20	0.33
0.02	1.00	1.00	1.00
0.04	1.00	1.00	1.00
0.06	0.97	0.97	0.97
0.08	0.94	0.93	0.93
0.1	0.88	0.87	0.87
0.12000000000000001	0.88	0.87	0.87
0.14	0.92	0.87	0.87
0.16	0.92	0.87	0.87
0.18	0.89	0.83	0.83
0.19999999999999998	0.88	0.80	0.80
0.21999999999999997	0.81	0.70	0.71
0.23999999999999996	0.79	0.67	0.67
0.25999999999999995	0.75	0.67	0.66
0.27999999999999997	0.72	0.60	0.58
0.3	0.72	0.60	0.58
0.32	0.72	0.60	0.58
0.34	0.72	0.60	0.58
0.36000000000000004	0.71	0.57	0.56
0.38000000000000006	0.69	0.53	0.52
