go	precision	recall	fmeasure
0.0	0.02	0.02	0.04
0.02	0.39	0.22	0.34
0.04	0.49	0.21	0.36
0.06	0.38	0.18	0.29
0.08	0.43	0.16	0.27
0.1	0.41	0.14	0.26
0.12000000000000001	0.28	0.15	0.23
0.14	0.29	0.14	0.22
0.16	0.26	0.12	0.21
0.18	0.20	0.09	0.17
0.19999999999999998	0.26	0.09	0.16
0.21999999999999997	0.28	0.10	0.17
0.23999999999999996	0.12	0.08	0.16
0.25999999999999995	0.13	0.07	0.15
0.27999999999999997	0.11	0.07	0.16
0.3	0.09	0.06	0.13
0.32	0.09	0.05	0.13
0.34	0.08	0.05	0.12
0.36000000000000004	0.06	0.05	0.12
0.38000000000000006	0.04	0.05	0.11
