dataset	DTW	EDR	LCS	NewGotoh
Beef-0.7	0.97	0.80	0.33	0.23	
Beef-0.30000000000000004	1.00	0.97	0.37	0.47	
Beef-0.6	1.00	0.70	0.33	0.40	
Beef-0.1	1.00	1.00	0.37	0.80	
Beef-0.7999999999999999	1.00	0.87	0.33	0.30	
Beef-0.8999999999999999	0.97	0.70	0.33	0.30	
Beef-0.4	1.00	1.00	0.37	0.43	
Beef-0.2	1.00	1.00	0.37	0.57	
Beef-0.5	1.00	0.77	0.33	0.40	
