go	precision	recall	fmeasure
0.0	0.20	0.20	0.33
0.2	0.82	0.80	0.80
0.4	0.69	0.63	0.63
0.6000000000000001	0.54	0.50	0.50
0.8	0.44	0.47	0.58
1.0	0.47	0.47	0.60
1.0	0.47	0.47	0.60
6.0	0.62	0.47	0.60
11.0	0.60	0.50	0.62
16.0	0.62	0.53	0.65
21.0	0.62	0.53	0.65
26.0	0.66	0.53	0.67
go	precision	recall	fmeasure
0.0	0.20	0.20	0.33
0.02	1.00	1.00	1.00
0.04	1.00	1.00	1.00
0.06	0.97	0.97	0.97
0.08	0.97	0.97	0.97
0.1	0.97	0.97	0.97
0.12000000000000001	0.94	0.93	0.93
0.14	0.89	0.87	0.87
0.16	0.88	0.83	0.84
0.18	0.82	0.80	0.80
0.19999999999999998	0.82	0.80	0.80
0.21999999999999997	0.76	0.70	0.70
0.23999999999999996	0.78	0.73	0.73
0.25999999999999995	0.78	0.73	0.73
0.27999999999999997	0.73	0.67	0.66
0.3	0.73	0.67	0.66
0.32	0.73	0.67	0.66
0.34	0.73	0.67	0.66
0.36000000000000004	0.68	0.60	0.59
0.38000000000000006	0.68	0.60	0.59
