gr	precision	recall	fmeasure
0.0	0.66	0.60	0.56
0.2	0.62	0.60	0.58
0.4	0.70	0.65	0.63
0.6000000000000001	0.79	0.65	0.60
0.8	0.60	0.55	0.49
1.0	0.62	0.60	0.58
6.0	0.62	0.60	0.58
11.0	0.62	0.60	0.58
16.0	0.62	0.60	0.58
21.0	0.62	0.60	0.58
26.0	0.62	0.60	0.58
gr	precision	recall	fmeasure
0.0	0.66	0.60	0.56
0.02	0.65	0.65	0.65
0.04	0.25	0.25	0.25
0.06	0.29	0.30	0.29
0.08	0.50	0.50	0.49
0.1	0.55	0.55	0.55
0.12000000000000001	0.60	0.60	0.60
0.14	0.55	0.55	0.54
0.16	0.62	0.60	0.58
0.18	0.62	0.60	0.58
0.19999999999999998	0.62	0.60	0.58
0.21999999999999997	0.62	0.60	0.58
0.23999999999999996	0.62	0.60	0.58
0.25999999999999995	0.62	0.60	0.58
0.27999999999999997	0.70	0.65	0.63
0.3	0.70	0.65	0.63
0.32	0.70	0.65	0.63
0.34	0.70	0.65	0.63
0.36000000000000004	0.70	0.65	0.63
0.38000000000000006	0.70	0.65	0.63
gr	precision	recall	fmeasure
0.0	0.66	0.60	0.56
0.02	0.65	0.65	0.65
0.04	0.25	0.25	0.25
0.06	0.29	0.30	0.29
0.08	0.50	0.50	0.49
0.1	0.55	0.55	0.55
0.12000000000000001	0.60	0.60	0.60
0.14	0.55	0.55	0.54
0.16	0.62	0.60	0.58
0.18	0.62	0.60	0.58
0.19999999999999998	0.62	0.60	0.58
0.21999999999999997	0.62	0.60	0.58
0.23999999999999996	0.62	0.60	0.58
0.25999999999999995	0.62	0.60	0.58
0.27999999999999997	0.70	0.65	0.63
0.3	0.70	0.65	0.63
0.32	0.70	0.65	0.63
0.34	0.70	0.65	0.63
0.36000000000000004	0.70	0.65	0.63
0.38000000000000006	0.70	0.65	0.63
