	dataset	DTW	EDR	LCS	NewGotoh
BirdChicken-0.1	1.00	1.00	0.88	1.00
BirdChicken-0.2	1.00	1.00	0.79	0.95
BirdChicken-0.3	1.00	1.00	0.76	0.92		
BirdChicken-0.4	1.00	1.00	0.76	0.81	
BirdChicken-0.5	1.00	1.00	0.50	0.81	
BirdChicken-0.6	1.00	1.00	0.50	0.79	
BirdChicken-0.7	1.00	1.00	0.50	0.79
BirdChicken-0.8	1.00	1.00	0.50	0.79
BirdChicken-0.9	1.00	1.00	0.50	0.81	
	
	
