go	precision	recall	fmeasure
0.0	0.20	0.20	0.33
0.2	0.83	0.73	0.74
0.4	0.57	0.40	0.40
0.6000000000000001	0.58	0.40	0.40
0.8	0.59	0.40	0.40
1.0	0.34	0.33	0.46
1.0	0.34	0.33	0.46
6.0	0.69	0.40	0.41
11.0	0.41	0.37	0.46
16.0	0.35	0.33	0.35
21.0	0.24	0.30	0.44
26.0	0.25	0.33	0.48
go	precision	recall	fmeasure
0.0	0.20	0.20	0.33
0.02	1.00	1.00	1.00
0.04	1.00	1.00	1.00
0.06	0.97	0.97	0.97
0.08	0.97	0.97	0.97
0.1	0.92	0.90	0.90
0.12000000000000001	0.92	0.90	0.90
0.14	0.92	0.87	0.87
0.16	0.85	0.80	0.81
0.18	0.84	0.77	0.77
0.19999999999999998	0.83	0.73	0.74
0.21999999999999997	0.74	0.63	0.63
0.23999999999999996	0.66	0.60	0.58
0.25999999999999995	0.58	0.57	0.73
0.27999999999999997	0.59	0.53	0.72
0.3	0.65	0.57	0.56
0.32	0.67	0.57	0.55
0.34	0.67	0.57	0.55
0.36000000000000004	0.67	0.53	0.53
0.38000000000000006	0.66	0.50	0.50
