dataset	DTW	EDR	LCS	NewGotoh
Beef-0.7	0.97	0.79	0.40	0.31	
Beef-0.30000000000000004	1.00	0.97	0.46	0.60	
Beef-0.6	1.00	0.68	0.40	0.41	
Beef-0.1	1.00	1.00	0.46	0.81	
Beef-0.7999999999999999	1.00	0.87	0.40	0.43	
Beef-0.8999999999999999	0.97	0.68	0.40	0.40	
Beef-0.4	1.00	1.00	0.46	0.57	
Beef-0.2	1.00	1.00	0.46	0.55	
Beef-0.5	1.00	0.75	0.40	0.43	
