go	precision
0.00	0.20
0.20	0.63
0.40	0.63
0.60	0.63
0.80	0.63
1.00	0.63
1.00	0.63
6.00	0.67
11.00	0.67
16.00	0.67
21.00	0.67
26.00	0.67
gr	precision
0.00	0.43
0.20	0.60
0.40	0.63
0.60	0.63
0.80	0.63
1.00	0.63
1.00	0.63
6.00	0.63
11.00	0.63
16.00	0.63
21.00	0.63
26.00	0.63
