go	precision	recall	fmeasure
0.0	0.20	0.20	0.33
0.2	0.88	0.87	0.87
0.4	0.75	0.70	0.69
0.6000000000000001	0.72	0.70	0.69
0.8	0.57	0.57	0.55
1.0	0.69	0.60	0.58
1.0	0.69	0.60	0.58
6.0	0.66	0.57	0.55
11.0	0.65	0.53	0.52
16.0	0.66	0.57	0.53
21.0	0.56	0.53	0.60
26.0	0.45	0.53	0.61
go	precision	recall	fmeasure
0.0	0.20	0.20	0.33
0.02	1.00	1.00	1.00
0.04	1.00	1.00	1.00
0.06	1.00	1.00	1.00
0.08	0.97	0.97	0.97
0.1	0.97	0.97	0.97
0.12000000000000001	0.97	0.97	0.97
0.14	0.88	0.87	0.87
0.16	0.88	0.87	0.87
0.18	0.88	0.87	0.87
0.19999999999999998	0.88	0.87	0.87
0.21999999999999997	0.85	0.80	0.80
0.23999999999999996	0.85	0.80	0.80
0.25999999999999995	0.85	0.80	0.80
0.27999999999999997	0.83	0.77	0.77
0.3	0.83	0.77	0.77
0.32	0.83	0.77	0.77
0.34	0.83	0.77	0.77
0.36000000000000004	0.84	0.77	0.77
0.38000000000000006	0.82	0.73	0.74
