go	precision	recall	fmeasure
0.0	0.20	0.20	0.33
0.2	0.73	0.63	0.63
0.4	0.38	0.33	0.42
0.6000000000000001	0.45	0.40	0.55
0.8	0.11	0.23	0.31
1.0	0.32	0.30	0.44
1.0	0.32	0.30	0.44
6.0	0.28	0.30	0.40
11.0	0.26	0.30	0.37
16.0	0.26	0.30	0.37
21.0	0.34	0.37	0.49
26.0	0.35	0.37	0.48
go	precision	recall	fmeasure
0.0	0.20	0.20	0.33
0.02	1.00	1.00	1.00
0.04	1.00	1.00	1.00
0.06	0.94	0.93	0.93
0.08	0.92	0.90	0.90
0.1	0.92	0.90	0.90
0.12000000000000001	0.92	0.90	0.90
0.14	0.87	0.83	0.84
0.16	0.85	0.80	0.81
0.18	0.84	0.77	0.77
0.19999999999999998	0.73	0.63	0.63
0.21999999999999997	0.67	0.60	0.60
0.23999999999999996	0.61	0.53	0.53
0.25999999999999995	0.59	0.47	0.46
0.27999999999999997	0.41	0.37	0.41
0.3	0.42	0.37	0.42
0.32	0.41	0.33	0.39
0.34	0.30	0.27	0.36
0.36000000000000004	0.37	0.37	0.45
0.38000000000000006	0.38	0.37	0.47
