go	precision	recall	fmeasure
0.0	0.20	0.20	0.33
0.2	0.83	0.70	0.70
0.4	0.62	0.40	0.42
0.6000000000000001	0.67	0.40	0.40
0.8	0.36	0.30	0.35
1.0	0.43	0.30	0.32
1.0	0.43	0.30	0.32
6.0	0.12	0.23	0.31
11.0	0.21	0.33	0.48
16.0	0.21	0.33	0.48
21.0	0.35	0.33	0.46
26.0	0.35	0.33	0.46
go	precision	recall	fmeasure
0.0	0.20	0.20	0.33
0.02	1.00	1.00	1.00
0.04	1.00	1.00	1.00
0.06	0.97	0.97	0.97
0.08	0.97	0.97	0.97
0.1	0.94	0.93	0.93
0.12000000000000001	0.92	0.87	0.87
0.14	0.92	0.87	0.87
0.16	0.87	0.80	0.81
0.18	0.84	0.77	0.77
0.19999999999999998	0.83	0.70	0.70
0.21999999999999997	0.69	0.60	0.58
0.23999999999999996	0.58	0.57	0.72
0.25999999999999995	0.57	0.53	0.70
0.27999999999999997	0.57	0.53	0.70
0.3	0.65	0.57	0.56
0.32	0.64	0.53	0.52
0.34	0.63	0.47	0.47
0.36000000000000004	0.64	0.47	0.47
0.38000000000000006	0.62	0.40	0.42
