dataset	DTW	EDR	LCS	NewGotoh
50words-0.1	1.00	1.00	0.89	1.00
50words-0.2	1.00	1.00	0.71	0.92
50words-0.3	1.00	1.00	0.48	0.62
50words-0.4	1.00	1.00	0.48	0.31	
50words-0.5	1.00	1.00	0.65	0.19	
50words-0.6	1.00	1.00	0.65	0.14		
50words-0.7	1.00	1.00	0.66	0.12	
50words-0.8	1.00	1.00	0.68	0.08
50words-0.9	1.00	0.98	0.69	0.04	
	
	
	
