gr	precision	recall	fmeasure
0.0	0.25	0.50	0.33
0.2	0.90	0.90	0.90
0.4	0.85	0.85	0.85
0.6000000000000001	0.85	0.85	0.85
0.8	0.85	0.85	0.85
1.0	0.85	0.85	0.85
6.0	0.85	0.85	0.85
11.0	0.85	0.85	0.85
16.0	0.85	0.85	0.85
21.0	0.85	0.85	0.85
26.0	0.85	0.85	0.85
gr	precision	recall	fmeasure
0.0	0.25	0.50	0.33
0.02	0.77	0.75	0.74
0.04	0.81	0.80	0.80
0.06	0.90	0.90	0.90
0.08	0.90	0.90	0.90
0.1	0.92	0.90	0.90
0.12000000000000001	0.95	0.95	0.95
0.14	0.95	0.95	0.95
0.16	0.95	0.95	0.95
0.18	0.95	0.95	0.95
0.19999999999999998	0.90	0.90	0.90
0.21999999999999997	0.90	0.90	0.90
0.23999999999999996	0.90	0.90	0.90
0.25999999999999995	0.85	0.85	0.85
0.27999999999999997	0.85	0.85	0.85
0.3	0.85	0.85	0.85
0.32	0.85	0.85	0.85
0.34	0.85	0.85	0.85
0.36000000000000004	0.85	0.85	0.85
0.38000000000000006	0.85	0.85	0.85
gr	precision	recall	fmeasure
0.0	0.25	0.50	0.33
0.02	0.77	0.75	0.74
0.04	0.81	0.80	0.80
0.06	0.90	0.90	0.90
0.08	0.90	0.90	0.90
0.1	0.92	0.90	0.90
0.12000000000000001	0.95	0.95	0.95
0.14	0.95	0.95	0.95
0.16	0.95	0.95	0.95
0.18	0.95	0.95	0.95
0.19999999999999998	0.90	0.90	0.90
0.21999999999999997	0.90	0.90	0.90
0.23999999999999996	0.90	0.90	0.90
0.25999999999999995	0.85	0.85	0.85
0.27999999999999997	0.85	0.85	0.85
0.3	0.85	0.85	0.85
0.32	0.85	0.85	0.85
0.34	0.85	0.85	0.85
0.36000000000000004	0.85	0.85	0.85
0.38000000000000006	0.85	0.85	0.85
