dataset	DTW	EDR	LCS	NewGotoh
50words-0.4	1.00	1.00	0.40	0.34	
50words-0.5	1.00	1.00	0.44	0.28	
50words-0.2	1.00	1.00	0.63	0.89	
50words-0.8999999999999999	1.00	0.97	0.20	0.16	
50words-0.7	1.00	1.00	0.21	0.17	
50words-0.7999999999999999	1.00	1.00	0.21	0.17	
50words-0.1	1.00	1.00	0.83	0.99	
50words-0.6	1.00	1.00	0.41	0.24	
50words-0.30000000000000004	1.00	1.00	0.46	0.52	
