dataset	DTW	EDR	LCS	NewGotoh
Beef-0.1	1.00	1.00	0.33	0.83
Beef-0.2	1.00	1.00	0.33	0.66	
Beef-0.3	1.00	0.97	0.33	0.62	
Beef-0.4	1.00	1.00	0.33	0.52	
Beef-0.5	1.00	0.81	0.29	0.73
Beef-0.6	1.00	0.69	0.29	0.69	
Beef-0.7	0.97	0.83	0.28	0.12	
Beef-0.8	1.00	0.88	0.28	0.13	
Beef-0.9	0.97	0.68	0.28	0.28	
	
