go	precision	recall	fmeasure
0.0	0.20	0.20	0.33
0.2	0.94	0.93	0.93
0.4	0.94	0.93	0.93
0.6000000000000001	0.94	0.93	0.93
0.8	0.91	0.90	0.90
1.0	0.88	0.83	0.84
1.0	0.88	0.83	0.84
6.0	0.83	0.80	0.81
11.0	0.86	0.80	0.81
16.0	0.83	0.73	0.75
21.0	0.71	0.67	0.67
26.0	0.71	0.67	0.67
go	precision	recall	fmeasure
0.0	0.20	0.20	0.33
0.02	1.00	1.00	1.00
0.04	1.00	1.00	1.00
0.06	1.00	1.00	1.00
0.08	0.97	0.97	0.97
0.1	0.97	0.97	0.97
0.12000000000000001	0.97	0.97	0.97
0.14	0.97	0.97	0.97
0.16	0.94	0.93	0.93
0.18	0.94	0.93	0.93
0.19999999999999998	0.94	0.93	0.93
0.21999999999999997	0.94	0.93	0.93
0.23999999999999996	0.94	0.93	0.93
0.25999999999999995	0.94	0.93	0.93
0.27999999999999997	0.94	0.93	0.93
0.3	0.94	0.93	0.93
0.32	0.94	0.93	0.93
0.34	0.94	0.93	0.93
0.36000000000000004	0.94	0.93	0.93
0.38000000000000006	0.94	0.93	0.93
