数据集	DTW	EDR	LCS	ERP	NewGotoh
50words-120	0.06	0.09	0.01	0.20	0.21	
50words-40	0.66	0.54	0.06	0.76	0.75	
50words-160	0.04	0.03	0.01	0.15	0.15	
50words-60	0.40	0.38	0.04	0.65	0.65	
50words-140	0.06	0.04	0.01	0.18	0.18	
50words-100	0.18	0.16	0.01	0.43	0.44	
50words-80	0.15	0.19	0.02	0.37	0.36	
50words-20	0.95	0.75	0.08	0.98	0.98	
