数据集	DTW	EDR	LCS	ERP	NewGotoh
50words-120	0.25	0.23	0.03	0.39	0.36	
50words-40	0.71	0.62	0.12	0.80	0.80	
50words-160	0.15	0.08	0.02	0.31	0.30	
50words-60	0.45	0.45	0.20	0.74	0.74	
50words-140	0.17	0.15	0.04	0.37	0.37	
50words-100	0.39	0.22	0.03	0.56	0.57	
50words-80	0.27	0.33	0.05	0.49	0.49	
50words-20	0.95	0.75	0.19	0.97	0.98	
