数据集	DTW	EDR	LCS	ERP	NewGotoh
50words-20	0.96	0.80	0.19	0.97	0.98	
50words-40	0.70	0.63	0.07	0.81	0.81		
50words-60	0.42	0.47	0.05	0.68	0.67
50words-80	0.13	0.20	0.00	0.41	0.42	
50words-100	0.11	0.11	0.01	0.54	0.53	
50words-120	0.05	0.04	0.02	0.31	0.35	
50words-140	0.06	0.03	0.01	0.25	0.24
50words-160	0.03	0.01	0.00	0.30	0.37
